question_number,subject,topic,type,question_text,option_a,option_b,option_c,option_d,correct_option,correct_answer,answer_tolerance,difficulty,exam_year,marks,tags,theory_title,theory_text,needs_review,review_reason
405,Data Science and Artificial Intelligence,Calculus,mcq,"For any twice differentiable function f: R -> R, if at some x* in R, f'(x*) = 0 and f''(x*) > 0, then the function f necessarily has a ______ at x = x*.",local minimum,global minimum,local maximum,global maximum,A,,,Easy,2024,1,PYQ;GATE 2024;GATE DA,,,,
406,Data Science and Artificial Intelligence,Programming and Data Structures,mcq,"Match the items in Column 1 with the items in Column 2: Column 1: (p) First In First Out, (q) Lookup Operation, (r) Last In First Out. Column 2: (i) Stacks, (ii) Queues, (iii) Hash Tables.","(p)-(ii), (q)-(iii), (r)-(i)","(p)-(ii), (q)-(i), (r)-(iii)","(p)-(i), (q)-(ii), (r)-(iii)","(p)-(i), (q)-(iii), (r)-(ii)",A,,,Easy,2024,1,PYQ;GATE 2024;GATE DA,,,,
407,Data Science and Artificial Intelligence,Machine Learning,mcq,"Consider the dataset with six datapoints: {(x1,y1),(x2,y2),...,(x6,y6)}, where x1=[1,0], x2=[0,1], x3=[0,-1], x4=[-1,0], x5=[2,2], x6=[-2,-2] and the labels are given by y1=y2=y5=1, and y3=y4=y6=-1. A hard margin linear support vector machine is trained on the above dataset. Which ONE of the following sets is a possible set of support vectors?","{x1, x2, x5}","{x3, x4, x5}","{x4, x5}","{x1, x2, x3, x4}",D,,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
408,Data Science and Artificial Intelligence,Machine Learning,mcq,"Match the items in Column 1 with the items in Column 2: Column 1: (p) Principal Component Analysis, (q) Naive Bayes Classification, (r) Logistic Regression. Column 2: (i) Discriminative Model, (ii) Dimensionality Reduction, (iii) Generative Model.","(p)-(iii), (q)-(i), (r)-(ii)","(p)-(ii), (q)-(i), (r)-(iii)","(p)-(ii), (q)-(iii), (r)-(i)","(p)-(iii), (q)-(ii), (r)-(i)",C,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
409,Data Science and Artificial Intelligence,Machine Learning,mcq,"Euclidean distance based k-means clustering algorithm was run on a dataset of 100 points with k = 3. If the points [1,1] and [-1,1] are both part of cluster 3, then which ONE of the following points is necessarily also part of cluster 3?","[0,0]","[0,2]","[2,0]","[0,1]",D,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
410,Data Science and Artificial Intelligence,Machine Learning,mcq,"Given a dataset with K binary-valued attributes (where K > 2) for a two-class classification task, the number of parameters to be estimated for learning a naive Bayes classifier is",2^K + 1,2K + 1,2^(K+1) + 1,K^2 + 1,B,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
411,Data Science and Artificial Intelligence,Programming and Data Structures,mcq,"Consider performing uniform hashing on an open address hash table with load factor alpha = n/m < 1, where n elements are stored in the table with m slots. The expected number of probes in an unsuccessful search is at most 1/(1-alpha). Inserting an element in this hash table requires at most ______ probes, on average.",ln(1/(1-alpha)),1/(1-alpha),1 + alpha/2,1/(1+alpha),B,,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
412,Data Science and Artificial Intelligence,Machine Learning,mcq,"For any binary classification dataset, let S_B and S_W be the between-class and within-class scatter (covariance) matrices, respectively. The Fisher linear discriminant is defined by u*, that maximizes J(u) = (u^T S_B u)/(u^T S_W u). If lambda = J(u*), S_W is non-singular and S_B != 0, then (u*, lambda) must satisfy which ONE of the following equations?",S_W^-1 S_B u* = lambda u*,S_W u* = lambda S_B u*,S_B S_W u* = lambda u*,u*^T u* = lambda^2,A,,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
413,Data Science and Artificial Intelligence,Artificial Intelligence,mcq,Let h1 and h2 be two admissible heuristics used in A* search. Which ONE of the following expressions is always an admissible heuristic?,h1 + h2,h1 x h2,"h1/h2, (h2 != 0)",|h1 - h2|,D,,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
414,Data Science and Artificial Intelligence,Machine Learning,mcq,"Consider five random variables U, V, W, X, and Y whose joint distribution satisfies: P(U,V,W,X,Y) = P(U)P(V)P(W|U,V)P(X|W)P(Y|W). Which ONE of the following statements is FALSE?",Y is conditionally independent of V given W,X is conditionally independent of U given W,U and V are conditionally independent given W,Y and X are conditionally independent given W,C,,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
415,Data Science and Artificial Intelligence,Artificial Intelligence,mcq,"Consider the following statement: In adversarial search, alpha-beta pruning can be applied to game trees of any depth where alpha is the (m) value choice we have formed so far at any choice point along the path for the MAX player and beta is the (n) value choice we have formed so far at any choice point along the path for the MIN player. Which ONE of the following choices of (m) and (n) makes the above statement valid?","(m) = highest, (n) = highest","(m) = lowest, (n) = highest","(m) = highest, (n) = lowest","(m) = lowest, (n) = lowest",C,,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
416,Data Science and Artificial Intelligence,Databases,mcq,"Consider a database that includes the following relations: Defender(name, rating, side, goals), Forward(name, rating, assists, goals), Team(name, club, price). Which ONE of the following relational algebra expressions checks that every name occurring in Team appears in either Defender or Forward, where phi denotes the empty set?",Pi_name(Team) \ (Pi_name(Defender) intersect Pi_name(Forward)) = phi,(Pi_name(Defender) intersect Pi_name(Forward)) \ Pi_name(Team) = phi,Pi_name(Team) \ (Pi_name(Defender) union Pi_name(Forward)) = phi,(Pi_name(Defender) union Pi_name(Forward)) \ Pi_name(Team) = phi,C,,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
417,Data Science and Artificial Intelligence,Probability and Statistics,mcq,"Let the minimum, maximum, mean and standard deviation values for the attribute income of data scientists be Rs 46000, Rs 170000, Rs 96000, and Rs 21000, respectively. The z-score normalized income value of Rs 106000 is closest to which ONE of the following options?",0.217,0.476,0.623,2.304,B,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
418,Data Science and Artificial Intelligence,Programming and Data Structures,msq,"Consider the following tree traversals on a full binary tree: (i) Preorder, (ii) Inorder, (iii) Postorder. Which of the following traversal options is/are sufficient to uniquely reconstruct the full binary tree?",(i) and (ii),(ii) and (iii),(i) and (iii),(ii) only,"A,B,C",,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
419,Data Science and Artificial Intelligence,Discrete Mathematics,msq,Let x and y be two propositions. Which of the following statements is a tautology/are tautologies? (A) (not x and y) => (y => x). (B) (x and not y) => (not x => y). (C) (not x and y) => (not x => y). (D) (x and not y) => (y => x).,(not x and y) => (y => x),(x and not y) => (not x => y),(not x and y) => (not x => y),(x and not y) => (y => x),"B,C,D",,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
420,Data Science and Artificial Intelligence,Algorithms,nat,"Consider sorting the following array of integers in ascending order using an in-place Quicksort algorithm that uses the last element as the pivot: [60, 70, 80, 90, 100]. The minimum number of swaps performed during this Quicksort is ______.",,,,,,0,0,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
421,Data Science and Artificial Intelligence,Databases,nat,"Consider two tables named Raider and Team in a relational database maintained by a Kabaddi league. Raider(ID, Name, Raids, RaidPoints) has rows: (1,Arjun,200,250),(2,Ankush,190,219),(3,Sunil,150,200),(4,Reza,150,190),(5,Pratham,175,220),(6,Gopal,193,215). Team(City, ID, BidPoints) has rows: (Jaipur,2,200),(Patna,3,195),(Hyderabad,5,175),(Jaipur,1,250),(Patna,4,200),(Jaipur,6,200). The SQL query: SELECT * FROM Raider, Team WHERE Raider.ID=Team.ID AND City='Jaipur' AND RaidPoints > 200; The number of rows returned by this query is ______.",,,,,,3,0,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
422,Data Science and Artificial Intelligence,Programming and Data Structures,nat,"The fundamental operations in a double-ended queue D are: insertFirst(e), insertLast(e), removeFirst(), removeLast(). In an empty double-ended queue, the following operations are performed: insertFirst(10); insertLast(32); a<-removeFirst(); insertLast(28); insertLast(17); a<-removeFirst(); a<-removeLast(). The value of a is ______.",,,,,,17,0,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
423,Data Science and Artificial Intelligence,Calculus,nat,Let f: R -> R be the function f(x) = 1/(1+e^-x). The value of the derivative of f at x where f(x) = 0.4 is ______ (rounded off to two decimal places).,,,,,,0.24,0,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
424,Data Science and Artificial Intelligence,Probability and Statistics,nat,The sample average of 50 data points is 40. The updated sample average after including a new data point taking the value of 142 is ______.,,,,,,42,0,Easy,2024,1,PYQ;GATE 2024;GATE DA,,,,
425,Data Science and Artificial Intelligence,Linear Algebra,nat,"Consider the 3x3 matrix M = [[1,2,3],[3,1,3],[4,3,6]]. The determinant of (M^2 + 12M) is ______.",,,,,,0,0,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
426,Data Science and Artificial Intelligence,Probability and Statistics,mcq,"A fair six-sided die (with faces numbered 1, 2, 3, 4, 5, 6) is repeatedly thrown independently. What is the expected number of times the die is thrown until two consecutive throws of even numbers are seen?",2,4,6,8,C,,,Hard,2024,2,PYQ;GATE 2024;GATE DA,,,,
427,Data Science and Artificial Intelligence,Calculus,mcq,"Let f: R -> R be a function. f(x) = -x, if x < -2; ax^2 + bx + c, if x in [-2,2]; x, if x > 2. Which ONE of the following choices gives the values of a, b, c that make the function f continuous and differentiable?","a = 1/4, b = 0, c = 1","a = 1/2, b = 0, c = 0","a = 0, b = 0, c = 0","a = 1, b = 1, c = -4",A,,,Hard,2024,2,PYQ;GATE 2024;GATE DA,,,,
428,Data Science and Artificial Intelligence,Programming and Data Structures,mcq,"Consider the following Python code: def count(child_dict, i): if i not in child_dict.keys(): return 1; ans = 1; for j in child_dict[i]: ans += count(child_dict, j); return ans. child_dict = dict(); child_dict[0] = [1,2]; child_dict[1] = [3,4,5]; child_dict[2] = [6,7,8]; print(count(child_dict,0)). Which ONE of the following is the output of this code?",6,1,8,9,D,,,Medium,2024,2,PYQ;GATE 2024;GATE DA,,,,
429,Data Science and Artificial Intelligence,Algorithms,mcq,"Consider the function computeS(X) whose pseudocode is given below: S[1] <- 1; for i <- 2 to length(X): S[i] <- 1; if X[i-1] <= X[i]: S[i] <- S[i] + S[i-1]; end if; end for; return S. Which ONE of the following values is returned by the function computeS(X) for X = [6, 3, 5, 4, 10]?","[1, 1, 2, 3, 4]","[1, 1, 2, 3, 3]","[1, 1, 2, 1, 2]","[1, 1, 2, 1, 5]",C,,,Medium,2024,2,PYQ;GATE 2024;GATE DA,,,,
430,Data Science and Artificial Intelligence,Algorithms,mcq,Let F(n) denote the maximum number of comparisons made while searching for an entry in a sorted array of size n using binary search. Which ONE of the following options is TRUE?,F(n) = F(floor(n/2)) + 1,F(n) = F(floor(n/2)) + F(ceil(n/2)),F(n) = F(floor(n/2)),F(n) = F(n-1) + 1,A,,,Medium,2024,2,PYQ;GATE 2024;GATE DA,,,,
431,Data Science and Artificial Intelligence,Programming and Data Structures,mcq,"Consider the following Python function: def fun(D, s1, s2): if s1 < s2: D[s1], D[s2] = D[s2], D[s1]; fun(D, s1+1, s2-1). What does this Python function fun() do?","It finds the smallest element in D from index s1 to s2, both inclusive.","It performs a merge sort in-place on this list D between indices s1 and s2, both inclusive.","It reverses the list D between indices s1 and s2, both inclusive.","It swaps the elements in D at indices s1 and s2, and leaves the remaining elements unchanged.",C,,,Medium,2024,2,PYQ;GATE 2024;GATE DA,,,,
432,Data Science and Artificial Intelligence,Machine Learning,mcq,"Consider the table where the (i,j)th element is the distance between points xi and xj (a 5x5 distance matrix for x1..x5). Single linkage clustering is performed on data points x1, x2, x3, x4, x5. Which ONE of the following is the correct representation of the clusters produced (dendrogram)?",Dendrogram A,Dendrogram B,Dendrogram C,Dendrogram D,A,,,Hard,2024,2,PYQ;GATE 2024;GATE DA,,,,
433,Data Science and Artificial Intelligence,Machine Learning,mcq,"Consider two neural networks (NNs) with ReLU activation. Figure 1 shows a 3-input, two-hidden-layer (3 and 2 neurons) network with given weights, feeding to a single output. Figure 2 shows a single-layer network from x1, x2, x3 to the output with weights p, q, r. The biases at every neuron are set to 0. For what values of p, q, r in Figure 2 are the two NNs equivalent, when x1, x2, x3 are positive?","p = 36, q = 24, r = 24","p = 24, q = 24, r = 36","p = 18, q = 36, r = 24","p = 36, q = 36, r = 36",A,,,Hard,2024,2,PYQ;GATE 2024;GATE DA,,,,
